ID,Source,Severity,Start_Time,End_Time,Start_Lat,Start_Lng,End_Lat,End_Lng,Distance(mi),Description,Street,City,County,State,Zipcode,Country,Timezone,Airport_Code,Weather_Timestamp,Temperature(F),Wind_Chill(F),Humidity(%),Pressure(in),Visibility(mi),Wind_Direction,Wind_Speed(mph),Precipitation(in),Weather_Condition,Amenity,Bump,Crossing,Give_Way,Junction,No_Exit,Railway,Roundabout,Station,Stop,Traffic_Calming,Traffic_Signal,Turning_Loop,Sunrise_Sunset,Civil_Twilight,Nautical_Twilight,Astronomical_Twilight,Hour,Weather_Condition_Encoded
A-14642,Source2,2,2016-11-02 14:24:10,2016-11-02 14:53:44,36.742023,-121.773849,,,0.01,Accident on CA-1 Northbound at Exits 414 414A Molera Rd.,Cabrillo Hwy N,Castroville,Monterey,CA,95012,US,US/Pacific,KSNS,2016-11-02 14:53:00,73.0,,42.0,30.14,10.0,ESE,6.9,,Clear,False,False,False,False,True,False,False,False,False,False,False,False,False,Day,Day,Day,Day,14.0,0
A-19468,Source2,2,2016-11-30 15:54:16,2016-11-30 16:37:51,38.362251,-120.733673,,,0.01,Accident on CA-88 Northbound at Dalton Rd.,State Highway 88,Jackson,Amador,CA,95642-9734,US,US/Pacific,KPVF,2016-11-30 15:55:00,44.6,43.1,81.0,30.07,10.0,NNW,3.5,,Overcast,False,False,False,False,False,False,False,False,False,False,False,True,False,Day,Day,Day,Day,15.0,21
A-19635,Source2,2,2016-09-12 19:29:45,2016-09-12 20:00:00,37.374687,-121.932213,,,0.0,Accident on US-101 Southbound at Exits 390 391 CA-87 Guadalupe Pkwy.,Bayshore Fwy S,San Jose,Santa Clara,CA,95110,US,US/Pacific,KSJC,2016-09-12 19:53:00,60.1,,62.0,29.86,10.0,WNW,10.4,,Scattered Clouds,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Day,Day,Day,19.0,25
A-22444,Source2,3,2016-09-29 10:22:22,2016-09-29 11:06:46,37.824001,-122.316925,,,0.0,Right hand shoulder blocked due to accident on I-80 Westbound at San Francisco-Oakland Bay Bridge Toll Plaza.,I-80 W,Oakland,Alameda,CA,94607,US,US/Pacific,KOAK,2016-09-29 09:53:00,59.0,,83.0,30.09,10.0,Variable,4.6,,Overcast,False,False,False,False,False,False,False,False,False,False,False,True,False,Day,Day,Day,Day,10.0,21
A-40155,Source2,3,2016-05-27 10:16:11,2016-05-27 10:46:11,37.774155,-122.159981,,,0.0,Accident on Mountain Blvd Eastbound at I-580.,I-580 E,Oakland,Alameda,CA,94605,US,US/Pacific,KOAK,2016-05-27 09:53:00,60.1,,72.0,29.98,10.0,SSW,5.8,,Partly Cloudy,False,False,False,False,True,False,False,False,False,False,False,False,False,Day,Day,Day,Day,10.0,22
A-42238,Source2,3,2016-06-13 21:38:14,2016-06-13 22:08:14,37.317284,-121.936401,,,0.0,Accident on I-280 Southbound at Exits 1C 5A 5B CA-17.,I-280 S,San Jose,Santa Clara,CA,95128,US,US/Pacific,KSJC,2016-06-13 21:53:00,61.0,,60.0,30.09,10.0,WNW,11.5,,Mostly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Night,Day,21.0,18
A-58496,Source2,2,2016-12-22 14:30:45,2016-12-22 15:15:27,34.031406,-118.192108,,,0.01,Gore point obstructed due to accident on CA-60 Westbound after Exit 2 Indiana St.,Pomona Fwy W,Los Angeles,Los Angeles,CA,90063,US,US/Pacific,KCQT,2016-12-22 14:47:00,66.0,,68.0,29.91,10.0,Variable,4.6,,Clear,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day,14.0,0
A-66850,Source2,2,2016-10-25 04:55:15,2016-10-25 05:39:45,34.45163,-119.260399,,,0.0,Accident on Del Norte Rd both ways near Rancho Dr.,Del Norte Rd,Ojai,Ventura,CA,93023-2403,US,US/Pacific,KOXR,2016-10-25 04:51:00,55.9,,87.0,30.09,10.0,Calm,,,Clear,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Night,Night,4.0,0
A-78028,Source2,3,2016-09-18 14:54:02,2016-09-18 15:39:02,34.055695,-118.451965,,,0.0,Accident on I-405 Northbound at Exits 55B 55C Wilshire Blvd.,I-405 N,Los Angeles,Los Angeles,CA,90025,US,US/Pacific,KSMO,2016-09-18 14:51:00,71.1,,73.0,29.9,6.0,SW,8.1,,Haze,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day,14.0,8
A-87113,Source2,2,2016-08-06 02:04:42,2016-08-06 03:04:42,34.016777000000005,-118.140099,,,0.0,Accident on CA-72 Whittier Blvd both ways at Hendricks Ave.,Hendricks Ave,Los Angeles,Los Angeles,CA,90022-3517,US,US/Pacific,KCQT,2016-08-06 01:47:00,66.0,,81.0,29.86,10.0,Calm,,,Clear,False,False,False,False,False,False,False,False,False,False,False,True,False,Night,Night,Night,Night,2.0,0
A-88988,Source2,3,2016-08-12 12:26:48,2016-08-12 13:08:00,33.774517,-118.07563799999998,,,0.0,Accident on I-405 Northbound at Exit 22 Seal Beach Blvd.,I-405 N,Seal Beach,Orange,CA,90740,US,US/Pacific,KSLI,2016-08-12 11:58:00,78.3,,61.0,30.03,10.0,WSW,8.1,,Clear,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day,12.0,0
